Juan Roman Riquelme,89,180000
Alan Shearer,87,131000
Paolo Maldini,88,817000
Kaka,89,617000
Javier Zanetti,88,389000
Christian Vieri,86,120000
Juan Roman Riquelme,91,396000
Andriy Shevchenko,91,536000
Jari Litmanen,88,136000
Roberto Baggio,89,335000
George Best,90,1229000
Rivaldo,90,434000
Jari Litmanen,85,121000
Luis Hernandez,87,382000
Robert Pires,88,142000
Paul Scholes,89,191000
Hugo Sanchez,87,271000
Javier Zanetti,87,372000
David Beckham,87,967000
Pavel Nedved,89,445000
Rui Costa,90,402000
Marco Van Basten,91,208000
Gianluca Zambrotta,86,668000
Michael Laudrup,85,141000
Laurent Blanc,89,874000
Alessandro Nesta,92,416000
Michael Owen,91,492000
Frank Lampard,90,428000
Raul,88,313000
Ruud Van Nistelrooy,86,122000
Kaka,87,673000
Petr Cech,88,286000
Lev Yashin,94,750000
Xavi,88,445000
Roberto Baggio,91,453000
Gheorghe Hagi,85,230000
Fernando Hierro,89,212000
Gary Lineker,89,272000
Dennis Bergkamp,90,368000
Sol Campbell,87,680000
Sol Campbell,89,783000
Ryan Giggs,92,369000
Garrincha,94,2638000
Bastian Schweinsteiger,91,1227000
Emilio Butragueno,87,875000
Gianfranco Zola,87,486000
Michael Essien,85,1097000
Ronaldinho,89,1365000
Gheorghe Hagi,91,438000
Alan Shearer,91,205000
David Beckham,92,862000
Raul,86,138000
Hugo Sanchez,89,399000
Luis Figo,92,1309000
Marcel Desailly,91,1574000
Puyol,90,377000
John Barnes,86,238000
Eric Cantona,90,1614000
Jay-Jay Okocha,87,181000
Robert Pires,91,272000
Deco,85,127000
Rivaldo,87,348000
Miroslav Klose,91,382000
Ryan Giggs,89,131000
Samuel Eto'O,90,2137000
Fernando Torres,85,345000
Garrincha,92,1645000
Carlos Alberto Torres,87,1068000
Carlos Alberto Torres,93,1527000
Roy Keane,90,478000
Filippo Inzaghi,85,118000
Roy Keane,88,325000
Pep Guardiola,87,328000
Franco Baresi,88,190000
Phillip Lahm,91,1070000
Nemanja Vidic,88,277000
Fabio Cannavaro,87,809000
Ian Wright,87,136000
Diego Maradona,91,2212000
Ronald Koeman,91,684000
Paolo Maldini,92,1920000
David Trezeguet,91,254000
Bobby Moore,87,189000
Peter Schmeichel,92,379000
Franco Baresi,91,235000
Ian Rush,91,316000
Rio Ferdinand,88,824000
Petr Cech,91,531000
Ferenc Puskas,92,2061000
Andriy Shevchenko,86,272000
Gennaro Gattuso,85,371000
Ian Wright,85,209000
Michael Essien,87,713000
Bobby Moore,92,286000
Roberto Carlos,86,609000
Luis Figo,90,724000
Ashley Cole,87,281000
Steven Gerrard,86,352000
Juan Roman Riquelme,87,154000
Lothar Matthaus,88,1273000
Michael Essien,90,1936000
Marc Overmars,88,334000
Pep Guardiola,90,686000
Samuel Eto'O,87,1910000
Rui Costa,85,145000
John Barnes,87,163000
Andriy Shevchenko,88,171000
Alessandro Del Piero,92,748000
Ashley Cole,85,400000
Fabio Cannavaro,89,443000
Bastian Schweinsteiger,87,382000
Hidetoshi Nakata,85,126000
Edwin Van Der Sar,87,372000
Michael Ballack,91,1288000
Alessandro Nesta,90,256000
Puyol,92,422000
Christian Vieri,88,127000
Gennaro Gattuso,87,274000
Nemanja Vidic,90,849000
Ferenc Puskas,89,1799000
Thierry Henry,93,2255000
Michael Ballack,89,722000
Frank Lampard,88,167000
Davor Suker,87,340000
Michael Owen,88,274000
Edwin Van Der Sar,89,427000
Emmanuel Petit,90,1161000
Andrea Pirlo,90,395000
Andrea Pirlo,88,301000
Fabio Cannavaro,92,1020000
Pavel Nedved,91,582000
Fernando Hierro,91,384000
Eric Cantona,88,1656000
Michael Laudrup,89,127000
Patrick Kluivert,86,173000
Ronaldo Nazario,90,2647000
Hristo Stoichkov,87,463000
Xavi,90,507000
Gianfranco Zola,90,609000
Filippo Inzaghi,90,141000
Frank Rijkaard,88,473000
Roy Keane,86,196000
Rui Costa,88,186000
Emmanuel Petit,88,795000
Gary Lineker,87,133000
Roberto Baggio,93,731000
Frank Lampard,86,242000
Kenny Dalglish,87,1073000
Ronald Koeman,85,154000
Alessandro Del Piero,90,717000
Miroslav Klose,87,127000
David Trezeguet,89,164000
Miroslav Klose,89,159000
Jay-Jay Okocha,85,310000
Laurent Blanc,85,1269000
Rio Ferdinand,90,1789000
Emmanuel Petit,85,256000
Steven Gerrard,89,670000
Gheorghe Hagi,89,336000
Fernando Torres,88,774000
Henrik Larsson,87,122000
Filippo Inzaghi,87,125000
Deco,90,294000
Fernando Torres,91,1637000
Hristo Stoichkov,90,629000
Clarence Seedorf,88,1100000
Roberto Carlos,88,768000
Clarence Seedorf,85,779000
Marco Van Basten,93,451000
Peter Schmeichel,86,172000
Robert Pires,85,127000
Peter Schmeichel,90,221000
Dennis Bergkamp,87,161000
Davor Suker,90,539000
Didier Drogba,89,477000
Ian Wright,89,282000
Laurent Blanc,91,1046000
Hidetoshi Nakata,88,222000
Ruud Van Nistelrooy,90,150000
Rivaldo,92,553000
Gary Lineker,92,423000
Kenny Dalglish,90,1317000
Ruud Gullit,86,1328000
Hernan Crespo,90,734000
Luis Hernandez,85,368000
Luis Figo,88,589000
Garrincha,90,1436000
Christian Vieri,90,177000
Phillip Lahm,87,573000
Marc Overmars,86,138000
Clarence Seedorf,91,814000
Paul Scholes,91,329000
Dennis Bergkamp,92,618000
Phillip Lahm,89,1357000
Hugo Sanchez,92,1105000
Marc Overmars,90,509000
Michael Ballack,86,418000
Marcel Desailly,87,1197000
Patrick Kluivert,91,362000
Xavi,93,1375000
Ian Rush,87,159000
Gianluca Zambrotta,89,861000
Alan Shearer,89,148000
David Trezeguet,86,131000
Fernando Hierro,86,236000
Franco Baresi,93,374000
Pep Guardiola,85,272000
Roberto Carlos,91,1227000
Bastian Schweinsteiger,89,454000
Hernan Crespo,85,206000
Lev Yashin,89,261000
Jay-Jay Okocha,90,526000
Hernan Crespo,87,264000
Socrates,89,528000
Patrick Kluivert,88,185000
Henrik Larsson,86,154000
Raul,92,993000
Rio Ferdinand,85,1217000
Edwin Van Der Sar,91,572000
Gianfranco Zola,85,723000
Thierry Henry,87,500000
Gennaro Gattuso,89,402000
Thierry Henry,90,785000
Juan Sebastian Veron,86,253000
Ian Rush,89,166000
Claude Makelele,85,297000
Didier Drogba,91,1290000
Kaka,91,1501000
Socrates,87,385000
Michael Owen,86,137000
Lev Yashin,91,336000
Frank Rijkaard,86,269000
Pavel Nedved,86,338000
Frank Rijkaard,90,843000
David Beckham,89,442000
Deco,87,141000
Kenny Dalglish,92,2049000
Ruud Van Nistelrooy,92,352000
Jari Litmanen,90,190000
Paul Scholes,87,153000
Zinedine Zidane,91,2351000
Ryan Giggs,87,168000
Hristo Stoichkov,92,1444000
Carlos Alberto Torres,90,840000
Gianluca Zambrotta,87,413000
Emilio Butragueno,92,1843000
John Barnes,89,440000
Henrik Larsson,90,554000
Steven Gerrard,91,888000
Ashley Cole,89,583000
Claude Makelele,87,688000
Michael Laudrup,91,272000
Emilio Butragueno,90,1273000
Bobby Moore,89,159000
Andrea Pirlo,92,567000
Claude Makelele,90,1208000
Patrick Vieira,86,2281000
Luis Hernandez,90,697000
Alessandro Del Piero,87,855000
Marcel Desailly,88,1013000
Sol Campbell,85,750000
Marco Van Basten,89,233000
Diego Maradona,95,2101000
Nemanja Vidic,85,385000
Juan Sebastian Veron,88,368000
Socrates,91,1006000
Puyol,86,216000
Juan Sebastian Veron,90,653000
Didier Drogba,87,573000
Alessandro Nesta,88,216000
George Best,88,1236000
Javier Zanetti,92,689000
Hidetoshi Nakata,86,127000
Petr Cech,86,222000
Lothar Matthaus,91,1990000
Ronald Koeman,88,424000
Davor Suker,85,252000
Johan Cruyff,89,3123000
Zinedine Zidane,94,2594000
Ronaldinho,91,2857000
Patrick Vieira,88,3488000
Lothar Matthaus,93,2861000
George Best,93,2627000
Johan Cruyff,91,3611000
Eusebio,91,3673000
Pele,91,3912000
Ferenc Puskas,94,3084000
Samuel Eto'O,92,3537000
Eric Cantona,93,3347000
