Juan Roman Riquelme,89,171000
Alan Shearer,87,111000
Paolo Maldini,88,775000
Kaka,89,600000
Javier Zanetti,88,363000
Christian Vieri,86,110000
Juan Roman Riquelme,91,391000
Andriy Shevchenko,91,533000
Jari Litmanen,88,118000
Roberto Baggio,89,317000
George Best,90,1131000
Rivaldo,90,423000
Jari Litmanen,85,111000
Luis Hernandez,87,382000
Robert Pires,88,136000
Paul Scholes,89,159000
Hugo Sanchez,87,272000
Javier Zanetti,87,343000
David Beckham,87,794000
Pavel Nedved,89,457000
Rui Costa,90,381000
Marco Van Basten,91,194000
Gianluca Zambrotta,86,603000
Michael Laudrup,85,140000
Laurent Blanc,89,817000
Alessandro Nesta,92,409000
Michael Owen,91,473000
Frank Lampard,90,398000
Raul,88,318000
Ruud Van Nistelrooy,86,108000
Kaka,87,645000
Petr Cech,88,275000
Lev Yashin,94,713000
Xavi,88,430000
Roberto Baggio,91,438000
Gheorghe Hagi,85,225000
Fernando Hierro,89,204000
Gary Lineker,89,263000
Dennis Bergkamp,90,372000
Sol Campbell,87,641000
Sol Campbell,89,754000
Ryan Giggs,92,350000
Garrincha,94,2319000
Bastian Schweinsteiger,91,1227000
Emilio Butragueno,87,836000
Gianfranco Zola,87,493000
Michael Essien,85,1036000
Ronaldinho,89,1314000
Gheorghe Hagi,91,420000
Alan Shearer,91,190000
David Beckham,92,799000
Raul,86,130000
Hugo Sanchez,89,395000
Luis Figo,92,1182000
Marcel Desailly,91,1501000
Puyol,90,362000
John Barnes,86,198000
Eric Cantona,90,1542000
Jay-Jay Okocha,87,161000
Robert Pires,91,268000
Deco,85,118000
Rivaldo,87,349000
Miroslav Klose,91,372000
Ryan Giggs,89,112000
Samuel Eto'O,90,2061000
Fernando Torres,85,336000
Garrincha,92,1545000
Carlos Alberto Torres,87,955000
Carlos Alberto Torres,93,1348000
Roy Keane,90,427000
Filippo Inzaghi,85,105000
Roy Keane,88,293000
Pep Guardiola,87,317000
Franco Baresi,88,175000
Phillip Lahm,91,1014000
Nemanja Vidic,88,250000
Fabio Cannavaro,87,736000
Ian Wright,87,122000
Diego Maradona,91,2177000
Ronald Koeman,91,654000
Paolo Maldini,92,1795000
David Trezeguet,91,238000
Bobby Moore,87,182000
Peter Schmeichel,92,362000
Franco Baresi,91,209000
Ian Rush,91,313000
Rio Ferdinand,88,746000
Petr Cech,91,490000
Ferenc Puskas,92,1928000
Andriy Shevchenko,86,272000
Gennaro Gattuso,85,386000
Ian Wright,85,193000
Michael Essien,87,709000
Bobby Moore,92,254000
Roberto Carlos,86,550000
Luis Figo,90,704000
Ashley Cole,87,245000
Steven Gerrard,86,324000
Juan Roman Riquelme,87,148000
Lothar Matthaus,88,1207000
Michael Essien,90,1808000
Marc Overmars,88,309000
Pep Guardiola,90,661000
Samuel Eto'O,87,1864000
Rui Costa,85,137000
John Barnes,87,145000
Andriy Shevchenko,88,166000
Alessandro Del Piero,92,716000
Ashley Cole,85,356000
Fabio Cannavaro,89,405000
Bastian Schweinsteiger,87,347000
Hidetoshi Nakata,85,117000
Edwin Van Der Sar,87,350000
Michael Ballack,91,1237000
Alessandro Nesta,90,235000
Puyol,92,382000
Christian Vieri,88,111000
Gennaro Gattuso,87,263000
Nemanja Vidic,90,800000
Ferenc Puskas,89,1719000
Thierry Henry,93,2228000
Michael Ballack,89,694000
Frank Lampard,88,145000
Davor Suker,87,343000
Michael Owen,88,263000
Edwin Van Der Sar,89,392000
Emmanuel Petit,90,1096000
Andrea Pirlo,90,383000
Andrea Pirlo,88,275000
Fabio Cannavaro,92,941000
Pavel Nedved,91,549000
Fernando Hierro,91,363000
Eric Cantona,88,1602000
Michael Laudrup,89,112000
Patrick Kluivert,86,165000
Ronaldo Nazario,90,2558000
Hristo Stoichkov,87,473000
Xavi,90,500000
Gianfranco Zola,90,609000
Filippo Inzaghi,90,131000
Frank Rijkaard,88,466000
Roy Keane,86,172000
Rui Costa,88,177000
Emmanuel Petit,88,754000
Gary Lineker,87,117000
Roberto Baggio,93,-959000
Frank Lampard,86,213000
Kenny Dalglish,87,1038000
Ronald Koeman,85,147000
Alessandro Del Piero,90,693000
Miroslav Klose,87,115000
David Trezeguet,89,147000
Miroslav Klose,89,141000
Jay-Jay Okocha,85,283000
Laurent Blanc,85,1227000
Rio Ferdinand,90,1643000
Emmanuel Petit,85,217000
Steven Gerrard,89,613000
Gheorghe Hagi,89,342000
Fernando Torres,88,786000
Henrik Larsson,87,113000
Filippo Inzaghi,87,111000
Deco,90,287000
Fernando Torres,91,1623000
Hristo Stoichkov,90,620000
Clarence Seedorf,88,1068000
Roberto Carlos,88,723000
Clarence Seedorf,85,779000
Marco Van Basten,93,466000
Peter Schmeichel,86,173000
Robert Pires,85,114000
Peter Schmeichel,90,217000
Dennis Bergkamp,87,156000
Davor Suker,90,518000
Didier Drogba,89,482000
Ian Wright,89,272000
Laurent Blanc,91,941000
Hidetoshi Nakata,88,213000
Ruud Van Nistelrooy,90,145000
Rivaldo,92,568000
Gary Lineker,92,382000
Kenny Dalglish,90,1273000
Ruud Gullit,86,1259000
Hernan Crespo,90,791000
Luis Hernandez,85,368000
Luis Figo,88,565000
Garrincha,90,1346000
Christian Vieri,90,168000
Phillip Lahm,87,527000
Marc Overmars,86,134000
Clarence Seedorf,91,814000
Paul Scholes,91,298000
Dennis Bergkamp,92,599000
Phillip Lahm,89,1291000
Hugo Sanchez,92,1070000
Marc Overmars,90,486000
Michael Ballack,86,420000
Marcel Desailly,87,1132000
Patrick Kluivert,91,363000
Xavi,93,1311000
Ian Rush,87,144000
Gianluca Zambrotta,89,812000
Alan Shearer,89,133000
David Trezeguet,86,119000
Fernando Hierro,86,234000
Franco Baresi,93,346000
Pep Guardiola,85,253000
Roberto Carlos,91,1155000
Bastian Schweinsteiger,89,453000
Hernan Crespo,85,201000
Lev Yashin,89,248000
Jay-Jay Okocha,90,511000
Hernan Crespo,87,252000
Socrates,89,523000
Patrick Kluivert,88,182000
Henrik Larsson,86,151000
Raul,92,1039000
Rio Ferdinand,85,1171000
Edwin Van Der Sar,91,538000
Gianfranco Zola,85,704000
Thierry Henry,87,500000
Gennaro Gattuso,89,386000
Thierry Henry,90,791000
Juan Sebastian Veron,86,232000
Ian Rush,89,149000
Claude Makelele,85,282000
Didier Drogba,91,1246000
Kaka,91,1437000
Socrates,87,359000
Michael Owen,86,118000
Lev Yashin,91,314000
Frank Rijkaard,86,268000
Pavel Nedved,86,326000
Frank Rijkaard,90,816000
David Beckham,89,413000
Deco,87,121000
Kenny Dalglish,92,2040000
Ruud Van Nistelrooy,92,353000
Jari Litmanen,90,181000
Paul Scholes,87,140000
Zinedine Zidane,91,2332000
Ryan Giggs,87,154000
Hristo Stoichkov,92,1409000
Carlos Alberto Torres,90,759000
Gianluca Zambrotta,87,404000
Emilio Butragueno,92,1827000
John Barnes,89,390000
Henrik Larsson,90,562000
Steven Gerrard,91,809000
Ashley Cole,89,538000
Claude Makelele,87,654000
Michael Laudrup,91,274000
Emilio Butragueno,90,1231000
Bobby Moore,89,151000
Andrea Pirlo,92,585000
Claude Makelele,90,1156000
Patrick Vieira,86,2121000
Luis Hernandez,90,664000
Alessandro Del Piero,87,855000
Marcel Desailly,88,953000
Sol Campbell,85,673000
Marco Van Basten,89,218000
Diego Maradona,95,1987000
Nemanja Vidic,85,372000
Juan Sebastian Veron,88,354000
Socrates,91,936000
Puyol,86,205000
Juan Sebastian Veron,90,659000
Didier Drogba,87,573000
Alessandro Nesta,88,193000
George Best,88,1127000
Javier Zanetti,92,674000
Hidetoshi Nakata,86,116000
Petr Cech,86,204000
Lothar Matthaus,91,1885000
Ronald Koeman,88,408000
Davor Suker,85,248000
