Juan Roman Riquelme,89,132000
Alan Shearer,87,101000
Paolo Maldini,88,636000
Kaka,89,431000
Javier Zanetti,88,244000
Christian Vieri,86,98000
Juan Roman Riquelme,91,218000
Andriy Shevchenko,91,266000
Jari Litmanen,88,98000
Roberto Baggio,89,212000
George Best,90,908000
Rivaldo,90,307000
Jari Litmanen,85,96000
Luis Hernandez,87,191000
Robert Pires,88,105000
Paul Scholes,89,117000
Hugo Sanchez,87,161000
Javier Zanetti,87,282000
David Beckham,87,560000
Pavel Nedved,89,208000
Rui Costa,90,195000
Marco Van Basten,91,152000
Gianluca Zambrotta,86,392000
Michael Laudrup,85,98000
Laurent Blanc,89,448000
Alessandro Nesta,92,269000
Michael Owen,91,277000
Frank Lampard,90,218000
Raul,88,190000
Ruud Van Nistelrooy,86,95000
Kaka,87,461000
Petr Cech,88,248000
Lev Yashin,94,513000
Xavi,88,262000
Roberto Baggio,91,285000
Gheorghe Hagi,85,146000
Fernando Hierro,89,167000
Gary Lineker,89,155000
Dennis Bergkamp,90,221000
Sol Campbell,87,455000
Sol Campbell,89,524000
Ryan Giggs,92,201000
Garrincha,94,2156000
Bastian Schweinsteiger,91,570000
Emilio Butragueno,87,488000
Gianfranco Zola,87,266000
Michael Essien,85,593000
Ronaldinho,89,1124000
Gheorghe Hagi,91,233000
Alan Shearer,91,144000
David Beckham,92,436000
Raul,86,105000
Hugo Sanchez,89,246000
Luis Figo,92,845000
Marcel Desailly,91,1077000
Puyol,90,275000
John Barnes,86,129000
Eric Cantona,90,930000
Jay-Jay Okocha,87,157000
Robert Pires,91,168000
Deco,85,101000
Rivaldo,87,230000
Miroslav Klose,91,210000
Ryan Giggs,89,114000
Samuel Eto'O,90,1458000
Fernando Torres,85,205000
Garrincha,92,1200000
Carlos Alberto Torres,87,693000
Carlos Alberto Torres,93,1007000
Roy Keane,90,203000
Filippo Inzaghi,85,97000
Roy Keane,88,150000
Pep Guardiola,87,153000
Franco Baresi,88,152000
Phillip Lahm,91,569000
Nemanja Vidic,88,200000
Fabio Cannavaro,87,607000
Ian Wright,87,99000
Diego Maradona,91,1735000
Ronald Koeman,91,377000
Paolo Maldini,92,1549000
David Trezeguet,91,160000
Bobby Moore,87,147000
Peter Schmeichel,92,293000
Franco Baresi,91,188000
Ian Rush,91,179000
Rio Ferdinand,88,531000
Petr Cech,91,368000
Ferenc Puskas,92,1346000
Andriy Shevchenko,86,175000
Gennaro Gattuso,85,171000
Ian Wright,85,134000
Michael Essien,87,340000
Bobby Moore,92,187000
Roberto Carlos,86,519000
Luis Figo,90,531000
Ashley Cole,87,209000
Steven Gerrard,86,189000
Juan Roman Riquelme,87,116000
Lothar Matthaus,88,913000
Michael Essien,90,1002000
Marc Overmars,88,178000
Pep Guardiola,90,311000
Samuel Eto'O,87,1211000
Rui Costa,85,103000
John Barnes,87,101000
Andriy Shevchenko,88,124000
Alessandro Del Piero,92,351000
Ashley Cole,85,291000
Fabio Cannavaro,89,316000
Bastian Schweinsteiger,87,184000
Hidetoshi Nakata,85,105000
Edwin Van Der Sar,87,323000
Michael Ballack,91,592000
Alessandro Nesta,90,196000
Puyol,92,296000
Christian Vieri,88,105000
Gennaro Gattuso,87,141000
Nemanja Vidic,90,464000
Ferenc Puskas,89,1185000
Thierry Henry,93,1377000
Michael Ballack,89,358000
Frank Lampard,88,117000
Davor Suker,87,183000
Michael Owen,88,174000
Edwin Van Der Sar,89,374000
Emmanuel Petit,90,506000
Andrea Pirlo,90,229000
Andrea Pirlo,88,199000
Fabio Cannavaro,92,714000
Pavel Nedved,91,253000
Fernando Hierro,91,244000
Eric Cantona,88,942000
Michael Laudrup,89,105000
Patrick Kluivert,86,105000
Ronaldo Nazario,90,1954000
Hristo Stoichkov,87,259000
Xavi,90,307000
Gianfranco Zola,90,307000
Filippo Inzaghi,90,107000
Frank Rijkaard,88,284000
Roy Keane,86,109000
Rui Costa,88,118000
Emmanuel Petit,88,331000
Gary Lineker,87,103000
Roberto Baggio,93,357000
Frank Lampard,86,133000
Kenny Dalglish,87,607000
Ronald Koeman,85,136000
Alessandro Del Piero,90,389000
Miroslav Klose,87,106000
David Trezeguet,89,123000
Miroslav Klose,89,122000
